Gene	"Gene synonym"	"Gene description"	Uniprot	"Biological process"	"Molecular function"	Evidence
KDM5A	"JARID1A, RBBP2"	"Lysine demethylase 5A"	P29375	"Biological rhythms, Transcription, Transcription regulation"	"Activator, Chromatin regulator, Developmental protein, Dioxygenase, Oxidoreductase"	"Evidence at protein level"
KDM5B	"CT31, JARID1B, PLU-1, PPP1R98, RBBP2H1A"	"Lysine demethylase 5B"	Q9UGL1	"Biological rhythms, Transcription, Transcription regulation"	"Chromatin regulator, Dioxygenase, Oxidoreductase, Repressor"	"Evidence at protein level"
KDM5C	"DXS1272E, JARID1C, MRX13, SMCX, XE169"	"Lysine demethylase 5C"	P41229	"Biological rhythms, Transcription, Transcription regulation"	"Chromatin regulator, Dioxygenase, Oxidoreductase, Repressor"	"Evidence at protein level"
KDM5D	"HY, HYA, JARID1D, KIAA0234, SMCY"	"Lysine demethylase 5D"	Q9BY66	"Transcription, Transcription regulation"	"Chromatin regulator, Dioxygenase, Oxidoreductase"	"Evidence at protein level"
KDM6A	UTX	"Lysine demethylase 6A"	O15550		"Chromatin regulator, Dioxygenase, Oxidoreductase"	"Evidence at protein level"
KDM6B	"JMJD3, KIAA0346"	"Lysine demethylase 6B"	O15054	"Inflammatory response"	"Chromatin regulator, Dioxygenase, Oxidoreductase"	"Evidence at protein level"
KDM7A	"JHDM1D, KIAA1718"	"Lysine demethylase 7A"	Q6ZMT4	"Neurogenesis, Transcription, Transcription regulation"	"Chromatin regulator, Dioxygenase, Oxidoreductase"	"Evidence at protein level"
KDM8	"FLJ13798, JMJD5"	"Lysine demethylase 8"	Q8N371	"Biological rhythms, Cell cycle, Transcription, Transcription regulation"	"Aminopeptidase, Chromatin regulator, Dioxygenase, Hydrolase, Oxidoreductase, Protease"	"Evidence at protein level"
KDR	"CD309, FLK1, VEGFR, VEGFR2"	"Kinase insert domain receptor"	P35968	"Angiogenesis, Differentiation, Host-virus interaction"	"Developmental protein, Kinase, Receptor, Transferase, Tyrosine-protein kinase"	"Evidence at protein level"
KDSR	"DHSR, FVT1, SDR35C1"	"3-ketodihydrosphingosine reductase"	Q06136	"Lipid metabolism, Sphingolipid metabolism"	Oxidoreductase	"Evidence at protein level"
KEAP1	"INrf2, KIAA0132, KLHL19, MGC10630, MGC1114, MGC20887, MGC4407, MGC9454"	"Kelch like ECH associated protein 1"	Q14145	"Host-virus interaction, Ubl conjugation pathway"		"Evidence at protein level"
KEL	"CD238, ECE3"	"Kell metallo-endopeptidase (Kell blood group)"	P23276		"Blood group antigen, Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
KERA	"CNA2, SLRR2B"	Keratocan	O60938	"Sensory transduction, Vision"		"Evidence at protein level"
KHDC1	"bA257K9.4, C6orf147, C6orf148, Em:AC019205.8, MGC10818, NDG1"	"KH domain containing 1"	Q4VXA5		RNA-binding	"Evidence at protein level"
KHDC1L	RP11-257K9.7	"KH domain containing 1 like"	Q5JSQ8			"Evidence at transcript level"
KHDC3L	"C6orf221, ECAT1"	"KH domain containing 3 like, subcortical maternal complex member"	Q587J8			"Evidence at protein level"
KHDC4	"BLOM7, KIAA0907, SNORA80EHG"	"KH domain containing 4, pre-mRNA splicing factor"	Q7Z7F0	"mRNA processing, mRNA splicing"	RNA-binding	"Evidence at protein level"
KHDRBS1	"FLJ34027, p62, Sam68"	"KH RNA binding domain containing, signal transduction associated 1"	Q07666	"Cell cycle, mRNA processing, Transcription, Transcription regulation"	RNA-binding	"Evidence at protein level"
KHDRBS2	"MGC26664, SLM-1, SLM1"	"KH RNA binding domain containing, signal transduction associated 2"	Q5VWX1	"mRNA processing, Transcription, Transcription regulation"	RNA-binding	"Evidence at protein level"
KHDRBS3	"Etle, etoile, SALP, SLM-2, SLM2, T-STAR"	"KH RNA binding domain containing, signal transduction associated 3"	O75525	"Host-virus interaction, mRNA processing, Transcription, Transcription regulation"	RNA-binding	"Evidence at protein level"
KHK		Ketohexokinase	P50053	"Carbohydrate metabolism"	"Kinase, Transferase"	"Evidence at protein level"
KHNYN	KIAA0323	"KH and NYN domain containing"	O15037			"Evidence at protein level"
KHSRP	"FBP2, FUBP2, KSRP"	"KH-type splicing regulatory protein"	Q92945	"mRNA processing, mRNA splicing, mRNA transport, Transcription, Transcription regulation, Transport"	"DNA-binding, RNA-binding"	"Evidence at protein level"
KIAA0040		KIAA0040	Q15053			"Evidence at protein level"
KIAA0232		KIAA0232	Q92628			"Evidence at protein level"
KIAA0319	NMIG	KIAA0319	Q5VV43	Neurogenesis	"Developmental protein"	"Evidence at protein level"
KIAA0319L	"AAVR, KIAA1837"	"KIAA0319 like"	Q8IZA0	"Host-virus interaction"		"Evidence at protein level"
KIAA0408		KIAA0408	Q6ZU52			"Evidence at protein level"
KIAA0513		KIAA0513	O60268			"Evidence at protein level"
KIAA0586	"JBTS23, Talpid3"	KIAA0586	Q9BVV6	"Cilium biogenesis/degradation"		"Evidence at protein level"
KIAA0753	"MNR, OFIP"	KIAA0753	Q2KHM9			"Evidence at protein level"
KIAA0825	"C5orf36, DKFZp686F0372, MGC34713"	KIAA0825	Q8IV33			"Evidence at protein level"
KIAA0930	"bK268H5.C22.1, C22orf9"	KIAA0930	Q6ICG6			"Evidence at protein level"
KIAA1143		KIAA1143	Q96AT1			"Evidence at protein level"
KIAA1191	"FLJ21022, p33MONOX, p60MONOX"	KIAA1191	Q96A73		Oxidoreductase	"Evidence at protein level"
KIAA1210		KIAA1210	Q9ULL0			"Evidence at protein level"
KIAA1217	"DKFZP761L0424, ETL4, SKT"	KIAA1217	Q5T5P2		"Developmental protein"	"Evidence at protein level"
KIAA1328		KIAA1328	Q86T90			"Evidence at protein level"
KIAA1522		KIAA1522	Q9P206			"Evidence at protein level"
KIAA1549		KIAA1549	Q9HCM3			"Evidence at protein level"
KIAA1549L	"C11orf41, C11orf69, G2, MGC34830"	"KIAA1549 like"	Q6ZVL6			"Evidence at protein level"
KIAA1586		KIAA1586	Q9HCI6	"Ubl conjugation pathway"	Transferase	"Evidence at protein level"
KIAA1614		KIAA1614	Q5VZ46			"Evidence at protein level"
KIAA1671		KIAA1671	Q9BY89			"Evidence at protein level"
KIAA1755	"quo, RP5-1054A22.3"	KIAA1755	Q5JYT7			"Evidence at protein level"
KIAA1958	FLJ39294	KIAA1958	Q8N8K9			"Evidence at protein level"
KIAA2012		KIAA2012				"Evidence at protein level"
KIAA2013	"MGC33867, RP5-1077B9.1"	KIAA2013	Q8IYS2			"Evidence at protein level"
KIAA2026	FLJ20375	KIAA2026	Q5HYC2			"Evidence at protein level"
KICS2	"C12orf66, FLJ32549"	"KICSTOR subunit 2"	Q96MD2			"Evidence at protein level"
KIDINS220	ARMS	"Kinase D interacting substrate 220"	Q9ULH0	Neurogenesis		"Evidence at protein level"
KIF11	"Eg5, HKSP, KNSL1, TRIP5"	"Kinesin family member 11"	P52732	"Cell cycle, Cell division, Mitosis"	"Motor protein"	"Evidence at protein level"
KIF12		"Kinesin family member 12"				"Evidence at protein level"
KIF13A	"bA500C11.2, RBKIN"	"Kinesin family member 13A"	Q9H1H9	"Cell cycle, Cell division, Protein transport, Transport"	"Motor protein"	"Evidence at protein level"
KIF13B	"GAKIN, KIAA0639"	"Kinesin family member 13B"	Q9NQT8		"Motor protein"	"Evidence at protein level"
KIF14	KIAA0042	"Kinesin family member 14"	Q15058		"Motor protein"	"Evidence at protein level"
KIF15	"HKLP2, KNSL7, NY-BR-62"	"Kinesin family member 15"	Q9NS87		"Motor protein"	"Evidence at protein level"
KIF16B	"C20orf23, dJ971B4.1, FLJ20135, SNX23"	"Kinesin family member 16B"	Q96L93	Transport	"Motor protein"	"Evidence at protein level"
KIF17	"KIAA1405, KIF17B, KIF3X, KLP-2, OSM-3"	"Kinesin family member 17"	Q9P2E2	"Protein transport, Transport"	"Motor protein"	"Evidence at protein level"
KIF18A	"DKFZP434G2226, PPP1R99"	"Kinesin family member 18A"	Q8NI77	"Protein transport, Transport"	"Motor protein"	"Evidence at protein level"
KIF18B		"Kinesin family member 18B"	Q86Y91	"Cell cycle, Cell division, Mitosis"	"Motor protein"	"Evidence at protein level"
KIF19	"FLJ37300, KIF19A"	"Kinesin family member 19"	Q2TAC6		"Motor protein"	"Evidence at protein level"
KIF1A	"ATSV, C2orf20, SPG30, UNC104"	"Kinesin family member 1A"	Q12756		"Motor protein"	"Evidence at protein level"
KIF1B	"CMT2, CMT2A, HMSNII, KIAA0591, KLP"	"Kinesin family member 1B"	O60333	Apoptosis	"Isomerase, Motor protein"	"Evidence at protein level"
KIF1C	"SAX2, SPAX2, SPG58"	"Kinesin family member 1C"	O43896		"Motor protein"	"Evidence at protein level"
KIF20A	"MKLP2, RAB6KIFL"	"Kinesin family member 20A"	O95235	"Protein transport, Transport"	"Motor protein"	"Evidence at protein level"
KIF20B	"CT90, KRMP1, MPHOSPH1, MPP1"	"Kinesin family member 20B"	Q96Q89	"Cell cycle, Cell division, Mitosis"	"Motor protein"	"Evidence at protein level"
KIF21A	"FEOM1, FLJ20052"	"Kinesin family member 21A"	Q7Z4S6		"Motor protein"	"Evidence at protein level"
KIF21B	"DKFZP434J212, KIAA0449"	"Kinesin family member 21B"	O75037		"Motor protein"	"Evidence at protein level"
KIF22	"Kid, KNSL4, OBP-1, OBP-2"	"Kinesin family member 22"	Q14807		"DNA-binding, Motor protein"	"Evidence at protein level"
KIF23	"KNSL5, MKLP-1, MKLP1"	"Kinesin family member 23"	Q02241	"Cell cycle, Cell division, Mitosis"	"Motor protein"	"Evidence at protein level"
KIF24	"bA571F15.4, C9orf48, FLJ10933, FLJ43884"	"Kinesin family member 24"	Q5T7B8	"Cilium biogenesis/degradation"	"Motor protein"	"Evidence at protein level"
KIF25	KNSL3	"Kinesin family member 25"	Q9UIL4		"Motor protein"	"Evidence at transcript level"
KIF26A	"DKFZP434N178, KIAA1236"	"Kinesin family member 26A"	Q9ULI4		"Motor protein"	"Evidence at protein level"
KIF26B	FLJ10157	"Kinesin family member 26B"	Q2KJY2		"Developmental protein, Motor protein"	"Evidence at protein level"
KIF27	DKFZp434D0917	"Kinesin family member 27"	Q86VH2	"Cilium biogenesis/degradation"	"Motor protein"	"Evidence at protein level"
KIF2A	"HK2, KIF2"	"Kinesin family member 2A"	O00139	"Cell cycle, Cell division, Differentiation, Mitosis, Neurogenesis"	"Developmental protein, Motor protein"	"Evidence at protein level"
KIF2B		"Kinesin family member 2B"	Q8N4N8	"Cell cycle, Cell division, Mitosis"	"Motor protein"	"Evidence at protein level"
KIF2C	"CT139, KNSL6, MCAK"	"Kinesin family member 2C"	Q99661	"Cell cycle, Cell division, Chromosome partition, Mitosis"		"Evidence at protein level"
KIF3A	"FLA10, KLP-20"	"Kinesin family member 3A"	Q9Y496	"Cilium biogenesis/degradation"	"Motor protein"	"Evidence at protein level"
KIF3B	"FLA8, KIAA0359, KLP-11"	"Kinesin family member 3B"	O15066		"Motor protein"	"Evidence at protein level"
KIF3C		"Kinesin family member 3C"	O14782		"Motor protein"	"Evidence at protein level"
KIF4A	"FLJ12530, FLJ12655, FLJ14204, FLJ20631, HSA271784, KIF4, KIF4-G1, MRX100"	"Kinesin family member 4A"	O95239		"DNA-binding, Motor protein"	"Evidence at protein level"
KIF4B		"Kinesin family member 4B"	Q2VIQ3		"DNA-binding, Motor protein"	"Evidence at protein level"
KIF5A	"D12S1889, MY050, NKHC, SPG10"	"Kinesin family member 5A"	Q12840		"Motor protein"	"Evidence at protein level"
KIF5B	"KNS, KNS1, uKHC"	"Kinesin family member 5B"	P33176		"Motor protein"	"Evidence at protein level"
KIF5C	NKHC2	"Kinesin family member 5C"	O60282	Transport	"Hydrolase, Motor protein"	"Evidence at protein level"
KIF6	"C6orf102, dJ1043E3.1, dJ137F1.4, dJ188D3.1, DKFZp451I2418, MGC33317"	"Kinesin family member 6"	Q6ZMV9		"Motor protein"	"Evidence at protein level"
KIF7	JBTS12	"Kinesin family member 7"	Q2M1P5		"Motor protein, Repressor"	"Evidence at protein level"
KIF9	MGC104186	"Kinesin family member 9"	Q9HAQ2		"Motor protein"	"Evidence at protein level"
KIFAP3	"FLA3, KAP-1, KAP3, SMAP"	"Kinesin associated protein 3"	Q92845			"Evidence at protein level"
KIFBP	"DKFZP586B0923, KBP, KIAA1279, KIF1BP, TTC20"	"Kinesin family binding protein"	Q96EK5	"Differentiation, Neurogenesis"	"Developmental protein"	"Evidence at protein level"
KIFC1	"HSET, KNSL2"	"Kinesin family member C1"	Q9BW19	"Cell cycle, Cell division, Mitosis"	"Motor protein"	"Evidence at protein level"
KIFC2		"Kinesin family member C2"	Q96AC6		"Motor protein"	"Evidence at protein level"
KIFC3		"Kinesin family member C3"	Q9BVG8		"Motor protein"	"Evidence at protein level"
KIN	"KIN17, Rts2"	"Kin17 DNA and RNA binding protein"	O60870	"DNA damage, DNA recombination, DNA repair, DNA replication, Host-virus interaction, mRNA processing, Stress response"	"DNA-binding, RNA-binding"	"Evidence at protein level"
KIR2DL1	"47.11, CD158A, cl-42, nkat1, p58.1"	"Killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1"	P43626		Receptor	"Evidence at protein level"
KIR2DL3	"CD158B2, cl-6, nkat2, nkat2a, nkat2b, p58"	"Killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3"	P43628		Receptor	"Evidence at protein level"
KIR2DL4	"103AS, 15.212, CD158D"	"Killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4"	Q99706		Receptor	"Evidence at protein level"
KIR2DS4	"CD158I, cl-39, KKA3, nkat8"	"Killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4"				"No human protein/transcript evidence"
KIR3DL1	"AMB11, CD158E1, CD158e1/2, CD158e2, cl-11, cl-2, KIR, nkat3, NKB1, NKB1B"	"Killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1"	P43629		Receptor	"Evidence at protein level"
KIR3DL2	"CD158K, cl-5, nkat4, nkat4a, nkat4b"	"Killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2"	P43630		Receptor	"Evidence at protein level"
KIR3DL3	"CD158Z, KIR3DL7, KIR44, KIRC1"	"Killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3"				"No human protein/transcript evidence"
KIRREL1	"KIRREL, NEPH1"	"Kirre like nephrin family adhesion molecule 1"	Q96J84			"Evidence at protein level"
KIRREL2	"DKFZp564A1164, FILTRIN, MGC15718, NEPH3, NLG1"	"Kirre like nephrin family adhesion molecule 2"	Q6UWL6			"Evidence at protein level"
KIRREL3	"KIAA1867, KIRRE, NEPH2"	"Kirre like nephrin family adhesion molecule 3"	Q8IZU9			"Evidence at protein level"
KISS1		"KiSS-1 metastasis suppressor"	Q15726			"Evidence at protein level"
KISS1R	"AXOR12, GPR54, HOT7T175"	"KISS1 receptor"	Q969F8		"G-protein coupled receptor, Receptor, Transducer"	"Evidence at protein level"
KIT	"C-Kit, CD117, PBT, SCFR"	"KIT proto-oncogene, receptor tyrosine kinase"	P10721		"Kinase, Receptor, Transferase, Tyrosine-protein kinase"	"Evidence at protein level"
KITLG	"DFNA69, FPH2, Kitl, KL-1, MGF, SCF, SF, SLF"	"KIT ligand"	P21583	"Cell adhesion"	"Growth factor"	"Evidence at protein level"
KIZ	"C20orf19, HT013, NCRNA00153, PLK1S1"	"Kizuna centrosomal protein"	Q2M2Z5			"Evidence at protein level"
KL	KLA	Klotho	Q9UEF7		"Glycosidase, Hormone, Hydrolase"	"Evidence at protein level"
KLB		"Klotho beta"	Q86Z14			"Evidence at protein level"
KLC1	"hKLC1B, hKLC1G, hKLC1J, hKLC1N, hKLC1P, hKLC1R, hKLC1S, KLC, KNS2, KNS2A"	"Kinesin light chain 1"	Q07866	"Cell adhesion, Host-virus interaction"	"Motor protein"	"Evidence at protein level"
KLC2	FLJ12387	"Kinesin light chain 2"	Q9H0B6		"Motor protein"	"Evidence at protein level"
KLC3	"KLC2L, KLCt, KNS2B"	"Kinesin light chain 3"	Q6P597	"Differentiation, Spermatogenesis"	"Motor protein"	"Evidence at protein level"
KLC4	"bA387M24.3, KNSL8"	"Kinesin light chain 4"	Q9NSK0		"Motor protein"	"Evidence at protein level"
KLF1	EKLF	"KLF transcription factor 1"	Q13351	"Transcription, Transcription regulation"	"Activator, DNA-binding"	"Evidence at protein level"
KLF10	"EGRA, TIEG, TIEG1"	"KLF transcription factor 10"	Q13118	"Biological rhythms, Transcription, Transcription regulation"	"DNA-binding, Repressor"	"Evidence at protein level"
KLF11	"FKLF, MODY7, TIEG2, Tieg3"	"KLF transcription factor 11"	O14901	"Apoptosis, Transcription, Transcription regulation"	"Activator, DNA-binding, Repressor"	"Evidence at protein level"
KLF12	"AP-2rep, AP2REP, HSPC122"	"KLF transcription factor 12"	Q9Y4X4	"Transcription, Transcription regulation"	"DNA-binding, Repressor"	"Evidence at protein level"
KLF13	"BTEB3, FKLF-2, NSLP1, RFLAT-1"	"KLF transcription factor 13"	Q9Y2Y9	"Transcription, Transcription regulation"	"Activator, DNA-binding, Repressor"	"Evidence at protein level"
KLF14	BTEB5	"KLF transcription factor 14"	Q8TD94	"Transcription, Transcription regulation"	DNA-binding	"Evidence at protein level"
KLF15	KKLF	"KLF transcription factor 15"	Q9UIH9	"Transcription, Transcription regulation"	"Activator, DNA-binding"	"Evidence at protein level"
KLF16	"BTEB4, DRRF, NSLP2"	"KLF transcription factor 16"	Q9BXK1	"Transcription, Transcription regulation"	DNA-binding	"Evidence at protein level"
KLF17	"FLJ40160, Zfp393, ZNF393"	"KLF transcription factor 17"	Q5JT82	"Transcription, Transcription regulation"	"Activator, DNA-binding, Repressor"	"Evidence at protein level"
KLF18		"KLF transcription factor 18"	A0A0U1RQI7			"No human protein/transcript evidence"
KLF2	LKLF	"KLF transcription factor 2"	Q9Y5W3	"Transcription, Transcription regulation"	"Activator, DNA-binding"	"Evidence at protein level"
KLF3	BKLF	"KLF transcription factor 3"	P57682	"Transcription, Transcription regulation"	"Activator, DNA-binding, Repressor"	"Evidence at protein level"
KLF4	"EZF, GKLF"	"KLF transcription factor 4"	O43474	"Transcription, Transcription regulation"	"Activator, DNA-binding"	"Evidence at protein level"
KLF5	"BTEB2, CKLF, IKLF"	"KLF transcription factor 5"	Q13887	"Transcription, Transcription regulation"	"Activator, DNA-binding"	"Evidence at protein level"
KLF6	"BCD1, COPEB, CPBP, GBF, PAC1, ST12, Zf9"	"KLF transcription factor 6"	Q99612	"Transcription, Transcription regulation"	"Activator, DNA-binding"	"Evidence at protein level"
KLF7	UKLF	"KLF transcription factor 7"	O75840	"Transcription, Transcription regulation"	"Activator, DNA-binding"	"Evidence at protein level"
KLF8	"BKLF3, DXS741, ZNF741"	"KLF transcription factor 8"	O95600	"Transcription, Transcription regulation"	"DNA-binding, Repressor"	"Evidence at protein level"
